date,team1,team2,team1score,team2score,winner,url
2020-05-21,5Dogs,Absolute Legends,2,1,2,https://liquipedia.net/valorant/Absolute_Masters/1
2021-05-20,La7zag eSports,One Shot Esports,1,1,1,https://liquipedia.net/valorant/Strike_Arabia/2021/League/Levant_and_North_Africa/Season_1
2021-08-13,Lusail Esports,Bratva E-Sports,1,2,1,https://liquipedia.net/valorant/Strike_Arabia/2021/League/GCC_and_Iraq/Season_2
2021-08-17,Bratva E-Sports,SNRG eSport,1,1,1,https://liquipedia.net/valorant/Strike_Arabia/2021/League/GCC_and_Iraq/Season_2
2021-08-30,Eternals Gaming,Australs,1,1,2,https://liquipedia.net/valorant/Liga_Movistar/Fibra_Pro_Shot
2021-09-01,Alterfox Esports,Psycho Family,1,1,2,https://liquipedia.net/valorant/Strike_Arabia/2021/League/Levant_and_North_Africa/Season_3
2021-09-02,Alterfox Esports,Team WaVii,1,1,1,https://liquipedia.net/valorant/Strike_Arabia/2021/League/Levant_and_North_Africa/Season_3
