date,team1,team2,team1score,team2score,winner,url
2021-08-22,Vibrance,Nefarious,2,3,1,https%3A%2F%2Fliquipedia.net%2FBeasley_Esports%2FThe_Search
2021-09-19,Team BDS,Karmine Corp,4,2,2,https%3A%2F%2Fliquipedia.net%2FWePlay_Esports%2FRocket_League_Invitational%2FEMEA
2021-10-18,University of Sydney,Monash Chasers,2,4,1,https%3A%2F%2Fliquipedia.net%2FAustralian_Esports_League%2FUniversity_Season_7
2021-10-31,G2 Esports,NRG,4,3,2,https%3A%2F%2Fliquipedia.net%2FRocket_League_Championship_Series%2F2021-22%2FFall%2FNorth_America%2F2
