date,team1,team2,team1players,team2players,team1score,team2score,winner,url
2021-06-30 01:00:00,Lore Gaming,No One Shoots Back,"['Ramby', 'Perform', 'Yeez', 'Parasite']","['MohaK', 'Fire', 'Prolute', 'Spart']",3,1,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FElite%2FStage_5%2FNorth_America
2021-06-30 02:30:00,Lore Gaming,UT Crew,"['Ramby', 'Perform', 'Yeez', 'Parasite']","['Phantomz', 'Archivs', 'Jimbo', 'Wrecks']",3,2,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FElite%2FStage_5%2FNorth_America
2021-06-30 02:30:00,Trash Bros,Team Canada,"['Hollow', 'Mock', 'Ulisses', 'Jintroid']","['Royalty', 'Xotic', 'Diamondcon', 'Davpadie']",0,3,2,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FElite%2FStage_5%2FNorth_America
2021-06-30 02:30:00,UYU,No One Shoots Back,"['Cruze', 'Wand', 'Noysii', 'Wellyy']","['MohaK', 'Fire', 'Prolute', 'Spart']",3,2,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FElite%2FStage_5%2FNorth_America
2021-06-30 02:30:00,Jabbawockeez,Built by Gamers,"['Zinx', 'Sib', 'Decemate', 'FeLo']","['GodRx', 'Pandur', 'Pentagrxm', 'KiSMET']",3,0,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FElite%2FStage_5%2FNorth_America
2021-06-30 09:30:00,True Rippers Esports,Team Vitality/Mobile,"['Techno', 'Kevin', 'BLOOD', 'Reactio1', 'Mirage']","['MonK', 'Moonscope', 'Argon', 'SAMs', 'DEATH']",2,1,1,https%3A%2F%2Fliquipedia.net%2FEsports_XO%2FChampions_League%2FSeason_2
2021-06-30 10:05:00,TeamIND,The Lazy Gen,"['Learn', 'Vegaz', 'Broszxs', 'BurnZ', 'TrunKs']","['PRince', 'Chronic', 'Scon', 'Seven', 'Sergeant']",2,0,1,https%3A%2F%2Fliquipedia.net%2FEsports_XO%2FChampions_League%2FSeason_2
2021-06-30 10:40:00,GodLike,Force1 Esports,"['Minho', 'VorteX', 'DANTE', 'Lezra', 'Prizzm']","['Abyss', 'BONES', 'OiL', 'Ignite', 'Xyro']",2,0,1,https%3A%2F%2Fliquipedia.net%2FEsports_XO%2FChampions_League%2FSeason_2
2021-06-30 19:00:00,Mav3ricks eSports,Team WaR,"['Sukry', 'EriKBooM', 'SupeR', 'Vikul']","['JurNii', 'MettalZ', 'YaKo', 'Lucky']",3,2,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FElite%2FStage_5%2FEurope
2021-06-30 19:00:00,Amelia Strays,Orgless,"['Chaaxter', 'Piero', 'Watson', 'Callum']","['Nastie', 'Vortex', 'Harry', 'Gismo']",1,3,2,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FElite%2FStage_5%2FEurope
2021-06-30 19:00:00,RejectsV2,GCPW,"['BBConor', 'Hawqeh', 'Dxsable', 'Saiyan']","['Genesis', 'Chain', 'Peatie', 'Wailers']",2,3,2,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FElite%2FStage_5%2FEurope
2021-06-30 20:30:00,Team WaR,Elevate,"['JurNii', 'MettalZ', 'YaKo', 'Lucky']","['Bidz', 'Denza', 'Hicksy', 'Weeman']",3,0,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FElite%2FStage_5%2FEurope
2021-06-30 20:30:00,Orgless,RejectsV2,"['Nastie', 'Vortex', 'Harry', 'Gismo']","['BBConor', 'Hawqeh', 'Dxsable', 'Saiyan']",3,0,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FElite%2FStage_5%2FEurope
2021-06-30 20:30:00,GCPW,Mav3ricks eSports,"['Genesis', 'Chain', 'Peatie', 'Wailers']","['Sukry', 'EriKBooM', 'SupeR', 'Vikul']",1,3,2,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FElite%2FStage_5%2FEurope
2021-07-01 00:00:00,XOXO,STMN Esports,"['Balance', 'Creed', 'Faydn', 'Faints', 'Lidiaigss']","['Angel', 'Naarkz', 'Inferno', 'Grizz', 'Tobi']",1,3,2,https%3A%2F%2Fliquipedia.net%2FNova_Championship_Series%2FSeason_7
2021-07-01 00:00:00,Nova Esports EU,Oxygen Esports/Mobile,"['Yahya', 'Turu', 'SaTuRnZz', 'BabaJaga', 'Karma_(Mobile_Player)']","['Marvel', 'Kosh', 'Sh4rk', 'DarkWizard', 'Jaz']",3,1,1,https%3A%2F%2Fliquipedia.net%2FNova_Championship_Series%2FSeason_7
2021-07-01 01:00:00,UYU,UT Crew,"['Cruze', 'Wand', 'Noysii', 'Wellyy']","['Phantomz', 'Archivs', 'Jimbo', 'Wrecks']",3,1,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FElite%2FStage_5%2FNorth_America
2021-07-01 01:00:00,Lore Gaming,Jabbawockeez,"['Ramby', 'Perform', 'Yeez', 'Parasite']","['Zinx', 'Sib', 'Decemate', 'FeLo']",3,1,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FElite%2FStage_5%2FNorth_America
2021-07-01 01:00:00,Trash Bros,Built by Gamers,"['Hollow', 'Mock', 'Ulisses', 'Jintroid']","['GodRx', 'Pandur', 'Pentagrxm', 'KiSMET']",2,3,2,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FElite%2FStage_5%2FNorth_America
2021-07-01 01:00:00,No One Shoots Back,Team Canada,"['MohaK', 'Fire', 'Prolute', 'Spart']","['Royalty', 'Xotic', 'Diamondcon', 'Davpadie']",3,0,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FElite%2FStage_5%2FNorth_America
