date,team1,team2,team1players,team2players,team1score,team2score,winner,url
2020-06-02 21:00:00,And They Say,War Pigs,"['svenko', 'theSeriusGui', 'yax', 'ankle', 'raizen7', 'xfel']","['shawnOFF', 'hiro', 'lendario', 'dalca', 'nyohl', 'pardal']",2,3,2,https://liquipedia.net/overwatch/Overwatch_Contenders/2020/Season_1/South_America
2020-06-02 23:00:00,Dignity,War Pigs,"['knight', 'shinigami', 'beast', 'neil', 'ddx', 'searchy']","['shawnOFF', 'hiro', 'lendario', 'dalca', 'nyohl', 'pardal']",4,0,1,https://liquipedia.net/overwatch/Overwatch_Contenders/2020/Season_1/South_America
2020-06-03 11:00:00,Far East Society,UNDEFINED,"['snake', 'priest', 'pLT', 'flawless', 'mingi', 'clover']","['toxcier', 'cola', 'xenTa', 'oFF', 'paikal', 'simple']",3,2,1,https://liquipedia.net/overwatch/Overwatch_Contenders/2020/Season_1/Pacific
2020-06-03 13:00:00,Talon Esports,Far East Society,"['arrow', 'stellar', 'd3CAL', 'wWY', 'pIGGY', 'dotori']","['snake', 'priest', 'pLT', 'flawless', 'mingi', 'clover']",4,0,1,https://liquipedia.net/overwatch/Overwatch_Contenders/2020/Season_1/Pacific
2020-06-04 00:00:00,Wamen Nagi 2.0,Overwine,"['archdaniel', 'chronos', 'timora', 'funtric', 'zombiitch', 'kuz']","['cheesypanda', 'dominici', 'kelthral', 'whoatash', 'guinness', 'kessler']",4,0,1,https://liquipedia.net/overwatch/New_Wave_Invitationals
2020-06-04 08:00:00,Ground Zero Gaming,Sydney Drop Bears,"['ckm', 'signed', 'cuFFa', 'adam', 'bertlog', 'terry']","['bRS', 'naahmie', 'fundrae', 'jkap', 'akraken', 'fluro']",3,2,1,https://liquipedia.net/overwatch/Overwatch_Contenders/2020/Season_1/Australia
2020-06-04 10:00:00,Sydney Drop Bears,Mindfreak,"['bRS', 'naahmie', 'fundrae', 'jkap', 'akraken', 'fluro']","['soggy', 'jordation', 'bus', 'slipGyp', 'ackyyy', 'jungle']",0,3,2,https://liquipedia.net/overwatch/Overwatch_Contenders/2020/Season_1/Australia
2020-06-04 11:20:00,Ground Zero Gaming,Mindfreak,"['ckm', 'signed', 'cuFFa', 'adam', 'bertlog', 'terry']","['soggy', 'jordation', 'bus', 'slipGyp', 'ackyyy', 'jungle']",3,4,2,https://liquipedia.net/overwatch/Overwatch_Contenders/2020/Season_1/Australia
2020-06-04 15:00:00,Team Papaya,Icarus Exiles,"['ascenD', 'biku', 'nibu', 'nt87', 'faluhenho', 'victini517']","['innuendo', 'fastarrowfin', 'bonk', 'hunajakani', 'jugi472', 'yaisk']",0,2,2,https://liquipedia.net/overwatch/Virtuaalirama_Overwatch
2020-06-04 15:00:00,Alpakkarauta,MRG Agate,"['masatus', 'elkku', 'bloodartist', 'vertigopi', 'superi', 'ladahero']","['jay', 'soren', 'muffindynamo', 'lude', 'bloodyHeroes', 'traeny']",0,2,2,https://liquipedia.net/overwatch/Virtuaalirama_Overwatch
2020-06-04 15:00:00,Tikka eSports,team bloodhound,"['pkopo1', 'matsii', 'janikut', 'mrClean', 'miro', 'a310ra']","['jugE', 'ember', 'mrRealfield', 'mIpoika', 'vOJM28', 'artzibaani']",2,0,1,https://liquipedia.net/overwatch/Virtuaalirama_Overwatch
2020-06-04 15:00:00,BlueWhites,Foxra,"['depsi', 'mets1s', 'another1', 'karrod', 'motroboomon', 'mcraka']","['hohtomikke', 'vaksis', 'madKiwi', 'jullePoika', 'joozak', 'attackmove']",2,0,1,https://liquipedia.net/overwatch/Virtuaalirama_Overwatch
2020-06-04 15:00:00,MBMC,Laamapelti,"['banadex', 'nummine', 'kISU', 'mrAre', 'hakkee', 'kubix']","['mytholo', 'sose', 'nyoko', 'outofideas', 'tikkis', 'huomio']",2,0,1,https://liquipedia.net/overwatch/Virtuaalirama_Overwatch
2020-06-04 15:00:00,Laku Feed Academy: Return of the King,HentaiReview,"['henkka', 'olly', 'gucciGang', 'boostio', 'rinfe', 'ville']","['realJoee', 'quosant', 'batonk', 'legi', 'jesbu', 'atteex']",2,0,1,https://liquipedia.net/overwatch/Virtuaalirama_Overwatch
2020-06-04 15:45:00,MBMC,HentaiReview,"['banadex', 'nummine', 'kISU', 'mrAre', 'hakkee', 'kubix']","['realJoee', 'quosant', 'batonk', 'legi', 'jesbu', 'atteex']",2,0,1,https://liquipedia.net/overwatch/Virtuaalirama_Overwatch
2020-06-04 15:45:00,Laamapelti,Laku Feed Academy: Return of the King,"['mytholo', 'sose', 'nyoko', 'outofideas', 'tikkis', 'huomio']","['henkka', 'olly', 'gucciGang', 'boostio', 'rinfe', 'ville']",0,2,2,https://liquipedia.net/overwatch/Virtuaalirama_Overwatch
2020-06-04 15:45:00,VASTA Gaming,team bloodhound,"['rockett', 'sauna', 'love', 'explorer', 'levitate', 'abbs']","['jugE', 'ember', 'mrRealfield', 'mIpoika', 'vOJM28', 'artzibaani']",2,0,1,https://liquipedia.net/overwatch/Virtuaalirama_Overwatch
2020-06-04 15:45:00,Foxra,Alpakkarauta,"['hohtomikke', 'vaksis', 'madKiwi', 'jullePoika', 'joozak', 'attackmove']","['masatus', 'elkku', 'bloodartist', 'vertigopi', 'superi', 'ladahero']",2,0,1,https://liquipedia.net/overwatch/Virtuaalirama_Overwatch
2020-06-04 15:45:00,BlueWhites,MRG Agate,"['depsi', 'mets1s', 'another1', 'karrod', 'motroboomon', 'mcraka']","['jay', 'soren', 'muffindynamo', 'lude', 'bloodyHeroes', 'traeny']",2,0,1,https://liquipedia.net/overwatch/Virtuaalirama_Overwatch
2020-06-04 15:45:00,Tikka eSports,Team Papaya,"['pkopo1', 'matsii', 'janikut', 'mrClean', 'miro', 'a310ra']","['ascenD', 'biku', 'nibu', 'nt87', 'faluhenho', 'victini517']",2,0,1,https://liquipedia.net/overwatch/Virtuaalirama_Overwatch
2020-06-04 16:30:00,MRG Agate,Foxra,"['jay', 'soren', 'muffindynamo', 'lude', 'bloodyHeroes', 'traeny']","['hohtomikke', 'vaksis', 'madKiwi', 'jullePoika', 'joozak', 'attackmove']",0,2,2,https://liquipedia.net/overwatch/Virtuaalirama_Overwatch
2020-06-04 16:30:00,BlueWhites,Alpakkarauta,"['depsi', 'mets1s', 'another1', 'karrod', 'motroboomon', 'mcraka']","['masatus', 'elkku', 'bloodartist', 'vertigopi', 'superi', 'ladahero']",2,0,1,https://liquipedia.net/overwatch/Virtuaalirama_Overwatch
2020-06-04 16:30:00,HentaiReview,Laamapelti,"['realJoee', 'quosant', 'batonk', 'legi', 'jesbu', 'atteex']","['mytholo', 'sose', 'nyoko', 'outofideas', 'tikkis', 'huomio']",2,0,1,https://liquipedia.net/overwatch/Virtuaalirama_Overwatch
2020-06-04 16:30:00,VASTA Gaming,Icarus Exiles,"['rockett', 'sauna', 'love', 'explorer', 'levitate', 'abbs']","['innuendo', 'fastarrowfin', 'bonk', 'hunajakani', 'jugi472', 'yaisk']",2,0,1,https://liquipedia.net/overwatch/Virtuaalirama_Overwatch
2020-06-04 16:30:00,MBMC,Laku Feed Academy: Return of the King,"['banadex', 'nummine', 'kISU', 'mrAre', 'hakkee', 'kubix']","['henkka', 'olly', 'gucciGang', 'boostio', 'rinfe', 'ville']",2,0,1,https://liquipedia.net/overwatch/Virtuaalirama_Overwatch
2020-06-04 17:15:00,VASTA Gaming,Team Papaya,"['rockett', 'sauna', 'love', 'explorer', 'levitate', 'abbs']","['ascenD', 'biku', 'nibu', 'nt87', 'faluhenho', 'victini517']",2,0,1,https://liquipedia.net/overwatch/Virtuaalirama_Overwatch
2020-06-04 17:15:00,Icarus Exiles,Tikka eSports,"['innuendo', 'fastarrowfin', 'bonk', 'hunajakani', 'jugi472', 'yaisk']","['pkopo1', 'matsii', 'janikut', 'mrClean', 'miro', 'a310ra']",0,2,2,https://liquipedia.net/overwatch/Virtuaalirama_Overwatch
2020-06-04 18:00:00,Raspberry Racers,Disaster,"['clowd', 'wayfast', 'helv', 'cenny', 'skairipa', 'watery']","['hybrid', 'bepis', 'henningsen', 'knasen', 'dolla', 'ding']",3,1,1,https://liquipedia.net/overwatch/Overwatch_Contenders/2020/Season_1/Europe
2020-06-04 18:00:00,VASTA Gaming,Tikka eSports,"['rockett', 'sauna', 'love', 'explorer', 'levitate', 'abbs']","['pkopo1', 'matsii', 'janikut', 'mrClean', 'miro', 'a310ra']",2,0,1,https://liquipedia.net/overwatch/Virtuaalirama_Overwatch
